スマホ使用時間,睡眠時間,身長,体重,ラーメンの味,運動習慣,朝食頻度,好きな季節,視力,利き手,健康状態,ストレスレベル,朝型夜型,整理整頓
24,4,177,117.0,その他,ほとんどしない,ほとんど食べない,夏,良い（裸眼で問題なし）,右手,4,3,4,3
6,7,172,60.0,醤油,ほぼ毎日,週2〜3日,春,悪い（コンタクト・眼鏡）,右手,4,2,1,1
14,5,170,55.0,塩,ほとんどしない,ほとんど食べない,秋,良い（裸眼で問題なし）,両方,4,3,2,1
16,8,175,55.0,醤油,週に数回,週4〜5日,冬,悪い（コンタクト・眼鏡）,右手,5,3,3,3
10,6,175,58.0,豚骨,週に数回,ほとんど食べない,秋,悪い（コンタクト・眼鏡）,右手,3,3,4,2
5,7,170,63.0,豚骨,週に数回,週2〜3日,春,良い（裸眼で問題なし）,右手,3,3,3,2
8,8,178,83.0,塩,週に数回,週2〜3日,冬,悪い（コンタクト・眼鏡）,右手,5,3,2,3
8,8,184,70.0,豚骨,週に数回,ほとんど食べない,秋,良い（裸眼で問題なし）,右手,3,5,4,3
3,6,175,82.0,その他,週に数回,ほとんど食べない,夏,良い（裸眼で問題なし）,右手,3,4,3,3
10,7,166,60.0,その他,週に数回,週2〜3日,夏,悪い（コンタクト・眼鏡）,右手,1,5,1,4
2,6,171,78.0,塩,週に数回,ほとんど食べない,秋,悪い（コンタクト・眼鏡）,右手,4,2,5,5
4,8,165,71.0,豚骨,週に数回,週4〜5日,春,良い（裸眼で問題なし）,右手,5,5,1,2
2,5,165,52.0,豚骨,ほとんどしない,週2〜3日,冬,良い（裸眼で問題なし）,右手,4,5,5,5
3,7,173,74.0,その他,週に数回,週2〜3日,秋,良い（裸眼で問題なし）,右手,5,3,4,5
6,7,169,53.5,味噌,週に数回,週2〜3日,秋,良い（裸眼で問題なし）,右手,5,3,3,4
10,8,178,70.0,塩,週に数回,週2〜3日,夏,良い（裸眼で問題なし）,左手,4,2,2,4
9,6,178,81.0,味噌,ほとんどしない,ほとんど食べない,冬,良い（裸眼で問題なし）,右手,3,4,5,2
5,6,158,42.0,豚骨,ほとんどしない,週2〜3日,秋,良い（裸眼で問題なし）,右手,4,2,4,3
3,5,164,52.0,豚骨,ほとんどしない,ほとんど食べない,冬,良い（裸眼で問題なし）,右手,4,5,5,5
